,word,count,freq
1264,wanderers,131,0.03529094827586207
578,common,130,0.03502155172413793
2308,harm,130,0.03502155172413793
14929,reasoning,130,0.03502155172413793
8476,relatives,130,0.03502155172413793
4925,white,130,0.03502155172413793
6879,better,130,0.03502155172413793
18761,concerning,130,0.03502155172413793
11872,enter,130,0.03502155172413793
6034,resolute,130,0.03502155172413793
16,clan,130,0.03502155172413793
15228,want,130,0.03502155172413793
130,sloth,129,0.034752155172413784
12613,disagreeable,129,0.034752155172413784
2918,ease,129,0.034752155172413784
19065,confidence,128,0.03448275862068965
6911,hearing,128,0.03448275862068965
40,experiences,128,0.03448275862068965
18511,steadfast,128,0.03448275862068965
11725,modes,128,0.03448275862068965
16911,impermanent,128,0.03448275862068965
19437,reappear,127,0.03421336206896552
11676,reappears,127,0.03421336206896552
2426,gets,127,0.03421336206896552
6306,order,127,0.03421336206896552
9799,skin,127,0.03421336206896552
5851,extreme,126,0.03394396551724138
9817,grounds,126,0.03394396551724138
2948,round,126,0.03394396551724138
517,supporting,125,0.033674568965517244
16249,dark,125,0.033674568965517244
10829,stood,125,0.033674568965517244
1782,increase,124,0.0334051724137931
2805,follow,124,0.0334051724137931
11599,equanimous,124,0.0334051724137931
17058,attaining,124,0.0334051724137931
14979,superior,124,0.0334051724137931
7410,number,124,0.0334051724137931
6475,exertion,123,0.033135775862068964
11332,gift,123,0.033135775862068964
8166,light,122,0.032866379310344834
960,consummation,122,0.032866379310344834
17876,conceit,122,0.032866379310344834
18944,existing,122,0.032866379310344834
1468,friendly,122,0.032866379310344834
15354,formless,122,0.032866379310344834
380,responded,122,0.032866379310344834
4830,pali,122,0.032866379310344834
12867,sun,121,0.03259698275862069
1379,types,121,0.03259698275862069
9847,visible,121,0.03259698275862069
13503,cloth,121,0.03259698275862069
13272,sick,121,0.03259698275862069
10401,deep,121,0.03259698275862069
4715,eating,121,0.03259698275862069
2499,pasenadi,121,0.03259698275862069
13916,crossed,120,0.032327586206896554
10735,clearly,120,0.032327586206896554
15595,early,120,0.032327586206896554
4549,disenchantment,120,0.032327586206896554
890,park,119,0.03205818965517242
10368,uposatha,119,0.03205818965517242
1983,perfect,119,0.03205818965517242
18312,anathapindikas,119,0.03205818965517242
6056,mountain,119,0.03205818965517242
5292,earlier,119,0.03205818965517242
8376,devoid,119,0.03205818965517242
9553,reward,119,0.03205818965517242
2553,questions,119,0.03205818965517242
15364,fermentation,118,0.031788793103448267
19061,growth,118,0.031788793103448267
9169,drawbacks,118,0.031788793103448267
4273,likewise,118,0.031788793103448267
14385,truths,118,0.031788793103448267
4524,virtuous,118,0.031788793103448267
2128,love,117,0.03151939655172414
13031,beautiful,117,0.03151939655172414
10231,thinks,117,0.03151939655172414
16315,perceiving,117,0.03151939655172414
568,attend,117,0.03151939655172414
17501,grass,117,0.03151939655172414
4714,stand,117,0.03151939655172414
8692,term,117,0.03151939655172414
3750,herenow,117,0.03151939655172414
13518,today,116,0.03125
4073,wanderer,116,0.03125
1436,kind,116,0.03125
12039,sāvatthī,116,0.03125
12645,walking,115,0.030980603448275863
2525,discerning,115,0.030980603448275863
2843,seeking,115,0.030980603448275863
10732,exchanged,115,0.030980603448275863
9025,fetters,115,0.030980603448275863
1196,courteous,115,0.030980603448275863
8141,new,115,0.030980603448275863
4683,honor,115,0.030980603448275863
3879,lived,115,0.030980603448275863
5098,felt,114,0.030711206896551727
11003,teachers,114,0.030711206896551727
16316,bound,114,0.030711206896551727
3789,chariot,114,0.030711206896551727
18827,basis,114,0.030711206896551727
8832,deva,113,0.030441810344827583
18894,elephants,113,0.030441810344827583
15127,happy,113,0.030441810344827583
8000,incapable,113,0.030441810344827583
8078,rain,113,0.030441810344827583
17348,steady,113,0.030441810344827583
3847,comy,113,0.030441810344827583
5719,ānanda,113,0.030441810344827583
7127,removed,112,0.03017241379310345
7761,easy,112,0.03017241379310345
8276,verses,112,0.03017241379310345
11572,heshe,112,0.03017241379310345
321,flavors,112,0.03017241379310345
5744,falling,111,0.029903017241379313
4039,exchange,111,0.029903017241379313
18038,charming,111,0.029903017241379313
17758,forward,110,0.029633620689655176
7270,discussion,110,0.029633620689655176
17375,fine,110,0.029633620689655176
14736,secluded,110,0.029633620689655176
482,kosala,110,0.029633620689655176
4794,bondage,110,0.029633620689655176
11705,blind,110,0.029633620689655176
9220,covetousness,110,0.029633620689655176
6408,aroused,110,0.029633620689655176
14268,matter,110,0.029633620689655176
13655,inferior,110,0.029633620689655176
1388,rise,109,0.029364224137931036
2756,uncertainty,109,0.029364224137931036
11885,fabricated,109,0.029364224137931036
17496,manner,109,0.029364224137931036
8071,destined,109,0.029364224137931036
2271,fame,109,0.029364224137931036
7265,whats,109,0.029364224137931036
1463,burden,109,0.029364224137931036
17301,hindrances,109,0.029364224137931036
5608,majesty,109,0.029364224137931036
12731,assumes,109,0.029364224137931036
10757,clingingaggregates,109,0.029364224137931036
17394,reappeared,109,0.029364224137931036
15437,passage,108,0.029094827586206892
9382,heat,108,0.029094827586206892
7407,owing,108,0.029094827586206892
13006,acquisition,108,0.029094827586206892
17878,meeting,108,0.029094827586206892
18664,influence,107,0.028825431034482762
5908,pains,107,0.028825431034482762
19372,tamed,107,0.028825431034482762
14179,subtle,107,0.028825431034482762
12912,animal,107,0.028825431034482762
19369,mouth,107,0.028825431034482762
11162,type,107,0.028825431034482762
6805,silent,106,0.028556034482758626
14545,rajagaha,106,0.028556034482758626
5234,final,106,0.028556034482758626
